PAD,ASIC,Channel,Channeltype
1,0,55,0
2,0,56,0
3,0,61,0
4,0,60,0
5,0,35,0
6,0,34,0
7,0,22,0
8,0,21,0
9,0,57,0
10,0,58,0
11,0,59,0
12,0,62,0
13,0,1,1
14,0,33,0
16,0,32,0
17,0,20,0
18,0,19,0
20,0,66,0
21,0,65,0
22,0,70,0
23,0,71,0
24,0,30,0
25,0,31,0
26,0,24,0
27,0,23,0
30,0,67,0
31,0,64,0
32,0,68,0
33,0,69,0
34,0,28,0
35,0,29,0
37,0,26,0
38,0,25,0
43,0,49,0
44,0,52,0
45,0,48,0
46,0,47,0
47,0,11,0
48,0,9,0
49,0,15,0
50,0,16,0
55,0,51,0
56,0,50,0
57,0,45,0
58,0,46,0
59,0,12,0
60,0,10,0
61,0,13,0
63,0,14,0
71,0,41,0
72,0,43,0
73,0,39,0
74,0,36,0
75,0,0,0
76,0,1,0
77,0,6,0
78,0,5,0
85,0,40,0
86,0,42,0
87,0,37,0
88,0,38,0
89,0,2,0
90,0,0,1
91,0,3,0
92,0,7,0
93,0,4,0
19,1,23,0
28,1,26,0
39,1,24,0
40,1,25,0
51,1,31,0
52,1,29,0
64,1,21,0
65,1,0,1
66,1,30,0
67,1,28,0
79,1,20,0
80,1,32,0
81,1,35,0
95,1,19,0
96,1,22,0
97,1,34,0
98,1,33,0
111,1,3,0
112,1,2,0
113,1,16,0
114,1,14,0
128,1,1,0
129,1,0,0
130,1,15,0
131,1,17,0
144,1,12,0
145,1,9,0
146,1,13,0
161,1,11,0
162,1,10,0
163,1,27,0
176,1,7,0
177,1,5,0
189,1,6,0
190,1,8,0
201,1,4,0
103,2,4,0
104,2,5,0
105,2,1,0
106,2,3,0
107,2,39,0
108,2,37,0
109,2,42,0
110,2,43,0
119,2,7,0
120,2,6,0
121,2,0,0
122,2,2,0
123,2,38,0
124,2,36,0
125,2,40,0
126,2,41,0
136,2,11,0
137,2,9,0
138,2,13,0
139,2,14,0
140,2,50,0
141,2,51,0
142,2,47,0
143,2,46,0
151,2,10,0
152,2,12,0
153,2,15,0
154,2,16,0
155,2,52,0
156,2,49,0
157,2,48,0
159,2,45,0
160,2,1,1
167,2,21,0
168,2,20,0
169,2,0,1
170,2,33,0
171,2,34,0
172,2,60,0
173,2,59,0
174,2,57,0
175,2,55,0
180,2,19,0
181,2,22,0
182,2,32,0
183,2,35,0
184,2,62,0
185,2,61,0
187,2,58,0
188,2,56,0
193,2,23,0
194,2,26,0
195,2,28,0
196,2,31,0
197,2,69,0
198,2,70,0
199,2,64,0
200,2,66,0
203,2,24,0
204,2,25,0
205,2,30,0
206,2,29,0
207,2,71,0
209,2,68,0
210,2,67,0
211,2,65,0
212,2,53,0
-1,0,8,0
-2,0,17,0
-3,0,18,0
-4,0,27,0
-5,0,44,0
-6,0,53,0
-7,0,54,0
-8,0,63,0
-9,1,18,0
-10,1,36,0
-11,1,37,0
-12,1,38,0
-13,1,39,0
-14,1,40,0
-15,1,41,0
-16,1,42,0
-17,1,43,0
-18,1,44,0
-19,1,45,0
-20,1,46,0
-21,1,47,0
-22,1,48,0
-23,1,49,0
-24,1,50,0
-25,1,51,0
-26,1,52,0
-27,1,53,0
-28,1,1,1
-29,1,54,0
-30,1,55,0
-31,1,56,0
-32,1,57,0
-33,1,58,0
-34,1,59,0
-35,1,60,0
-36,1,61,0
-37,1,62,0
-38,1,63,0
-39,1,64,0
-40,1,65,0
-41,1,66,0
-42,1,67,0
-43,1,68,0
-44,1,69,0
-45,1,70,0
-46,1,71,0
-47,2,8,0
-48,2,17,0
-49,2,18,0
-50,2,27,0
-51,2,44,0
-52,2,54,0
-53,2,63,0
